bowler,match,wickets,bowler's_runs,valid_ball,overs_bowled,economy,best,4W Hall,5W Hall
Rashid Khan,62,75,1537,1476,246.0,6.25,3/ 7,0,0
Munaf Patel,63,74,1698,1355,225.5,7.53,5/ 21,2,1
Ishant Sharma,90,71,2604,1925,320.5,8.12,5/ 12,0,1
Mitchell McClenaghan,56,71,1803,1274,212.2,8.5,4/ 21,1,0
Rajat Bhatia,91,71,2020,1636,272.4,7.42,4/ 15,1,0
Ashoke Dinda,75,69,2073,1516,252.4,8.21,4/ 18,1,0
Jacques Kallis,89,65,2293,1742,290.2,7.9,3/ 13,0,0
Siddharth Trivedi,75,65,1904,1506,251.0,7.59,4/ 25,1,0
Muttiah Muralitharan,66,63,1696,1524,254.0,6.68,3/ 11,0,0
Trent Boult,48,63,1577,1109,184.5,8.55,4/ 18,1,0
Kagiso Rabada,35,61,1103,805,134.1,8.23,4/ 21,4,0
Mitchell Johnson,54,61,1702,1232,205.2,8.29,3/ 26,0,0
Andre Russell,68,61,1713,1147,191.1,8.96,4/ 20,1,0
Mohammed Shami,63,60,2007,1354,225.4,8.9,3/ 15,0,0
Kieron Pollard,92,60,1960,1325,220.5,8.89,4/ 44,1,0
Shakib Al Hasan,62,59,1652,1328,221.2,7.47,3/ 17,0,0
Karn Sharma,66,59,1610,1222,203.4,7.92,4/ 16,2,0
James Faulkner,60,59,1778,1227,204.3,8.7,5/ 16,0,2
Shane Warne,54,57,1447,1194,199.0,7.27,4/ 21,1,0
Siddarth Kaul,46,51,1449,1005,167.3,8.66,4/ 29,1,0
Shreyas Gopal,44,48,1164,889,148.1,7.86,4/ 16,1,0
Shahbaz Nadeem,69,47,1748,1391,231.5,7.55,3/ 16,0,0
Shadab Jakati,57,47,1451,1085,180.5,8.04,4/ 22,2,0
Shardul Thakur,44,46,1340,901,150.1,8.93,3/ 19,0,0
Krunal Pandya,69,46,1508,1245,207.3,7.27,3/ 14,0,0
Anureet Singh,45,46,1243,885,147.3,8.44,4/ 19,1,0
Jofra Archer,35,46,979,827,137.5,7.12,3/ 14,0,0
Harshal Patel,46,46,1349,926,154.2,8.75,3/ 28,0,0
Sreenath Aravind,38,45,1039,760,126.4,8.22,4/ 14,2,0
Anil Kumble,42,45,1058,965,160.5,6.59,5/ 5,2,1
Ryan Harris,37,45,1047,832,138.4,7.57,4/ 34,1,0
Deepak Chahar,48,45,1271,1000,166.4,7.64,3/ 15,0,0
Hardik Pandya,60,42,1313,869,144.5,9.09,3/ 20,0,0
Yusuf Pathan,82,42,1415,1147,191.1,7.4,3/ 20,0,0
Varun Aaron,48,42,1429,964,160.4,8.91,3/ 16,0,0
Nathan Coulter-Nile,32,41,925,719,119.5,7.74,4/ 20,1,0
Iqbal Abdulla,48,40,1109,920,153.2,7.24,3/ 24,0,0
Rahul Sharma,44,40,1086,928,154.4,7.03,3/ 13,0,0
S Sreesanth,44,40,1194,880,146.4,8.16,3/ 29,0,0
Andrew Tye,27,40,871,619,103.1,8.45,5/ 17,3,1
Kuldeep Yadav,43,40,1236,896,149.2,8.28,4/ 20,1,0
Parvinder Awana,33,39,1029,747,124.3,8.28,4/ 34,1,0
Mohammed Siraj,35,39,1084,716,119.2,9.09,4/ 32,1,0
Moises Henriques,55,38,1244,890,148.2,8.39,3/ 16,0,0
Manpreet Gony,44,37,1287,888,148.0,8.7,3/ 31,0,0
Doug Bollinger,27,37,693,576,96.0,7.22,4/ 13,1,0
Yuvraj Singh,73,36,1077,869,144.5,7.45,4/ 29,2,0
Pradeep Sangwan,39,35,1175,802,133.4,8.81,3/ 18,0,0
Mitchell Starc,26,34,693,580,96.4,7.19,4/ 15,1,0
Pawan Negi,42,34,939,716,119.2,7.88,4/ 18,1,0
Daniel Christian,40,34,1037,783,130.3,7.96,2/ 10,0,0
Kevon Cooper,25,33,757,576,96.0,7.89,4/ 26,1,0
Thisara Perera,36,31,1016,698,116.2,8.74,3/ 20,0,0
Murali Kartik,55,31,1388,1149,191.3,7.26,3/ 17,0,0
Rahul Chahar,30,30,799,642,107.0,7.47,3/ 19,0,0
Azhar Mahmood,23,29,700,537,89.3,7.84,3/ 20,0,0
Ajit Agarkar,42,29,1151,782,130.2,8.84,3/ 25,0,0
Pat Cummins,30,29,908,673,112.1,8.1,4/ 34,1,0
Dirk Nannes,29,28,785,646,107.4,7.31,3/ 27,0,0
Daniel Vettori,34,28,879,777,129.3,6.8,3/ 15,0,0
Pravin Tambe,33,28,853,660,110.0,7.75,4/ 20,1,0
Ben Stokes,36,28,962,677,112.5,8.55,3/ 15,0,0
Marcus Stoinis,37,28,852,545,90.5,9.41,4/ 15,1,0
Tim Southee,40,28,1293,888,148.0,8.74,3/ 24,0,0
Angelo Mathews,44,27,1079,791,131.5,8.21,4/ 19,1,0
