bowler,batting_team,season,Innings,bowler's_wicket,bowler's_runs,valid_ball,overs,economy
Ankit Rajpoot,Mumbai Indians,2017,3,4,65,48,8.0,8.12
Ankit Rajpoot,Mumbai Indians,2018,2,1,77,42,7.0,11.0
Ankit Rajpoot,Mumbai Indians,2019,1,1,52,24,4.0,13.0
Ankit Rajpoot,Mumbai Indians,2020,2,0,102,42,7.0,14.57
Ankit Rajpoot,Punjab Kings,2013,1,0,10,6,1.0,10.0
Ankit Rajpoot,Punjab Kings,2017,1,0,17,12,2.0,8.5
Ankit Rajpoot,Punjab Kings,2020,1,1,38,25,4.1,9.27
Ankit Rajpoot,Rajasthan Royals,2018,1,1,37,18,3.0,12.33
Ankit Rajpoot,Rajasthan Royals,2019,1,2,33,24,4.0,8.25
Ankit Rajpoot,Rising Pune Supergiant,2016,1,1,14,12,2.0,7.0
Ankit Rajpoot,Royal Challengers Bangalore,2016,1,0,28,18,3.0,9.33
Ankit Rajpoot,Royal Challengers Bangalore,2017,1,0,25,24,4.0,6.25
Ankit Rajpoot,Royal Challengers Bangalore,2018,1,0,21,7,1.1,19.09
Ankit Rajpoot,Royal Challengers Bangalore,2019,1,0,46,24,4.0,11.5
Ankit Rajpoot,Sunrisers Hyderabad,2016,1,1,21,18,3.0,7.0
Ankit Rajpoot,Sunrisers Hyderabad,2018,1,5,14,24,4.0,3.5
Ankit Rajpoot,Sunrisers Hyderabad,2019,1,0,21,24,4.0,5.25
Ankit Rajpoot,Sunrisers Hyderabad,2020,1,0,11,6,1.0,11.0
Ankit Sharma,Chennai Super Kings,2012,2,1,41,30,5.0,8.2
Ankit Sharma,Chennai Super Kings,2014,1,2,20,24,4.0,5.0
Ankit Sharma,Chennai Super Kings,2015,2,2,57,42,7.0,8.14
Ankit Sharma,Chennai Super Kings,2018,1,0,11,6,1.0,11.0
Ankit Sharma,Delhi Capitals,2012,2,0,34,19,3.1,10.97
